cname,sname,cont,body,fwater,imgurl
"Mackerel, Cero",Scomberomorus regalis,1 2,3,n,https://www.igfa.org/Images/SpeciesID_Images/mackerel_cero.png
"Mackerel, King",Scomberomorus cavalla,1 2,3,n,https://www.igfa.org/Images/SpeciesID_Images/mackerel_king.png
"Mackerel, Narrowbarred",Scomberomorus commerson,4 5 6,3,n,https://www.igfa.org/Images/SpeciesID_Images/mackerel_nbarr.png
"Mackerel, Pacific Sierra",Scomberomorus sierra,1 2,3,n,https://www.igfa.org/Images/SpeciesID_Images/BWMackerel_PacSierra.png
"Mackerel, Spanish",Scomberomorus maculatus,1,3,n,https://www.igfa.org/Images/SpeciesID_Images/mackerel_span.png
Madai,Pagrus major,5,2,n,https://www.igfa.org/Images/SpeciesID_Images/madai.png
"Marlin, Black",Istiompax indica,5 6,5,n,https://www.igfa.org/Images/SpeciesID_Images/marlin_black.png
"Marlin, Blue",Makaira nigricans,1 3 5,5,n,https://www.igfa.org/Images/SpeciesID_Images/marlin_blue.png
"Marlin, Striped",Tetrapturus audax,5 6,5,n,https://www.igfa.org/Images/SpeciesID_Images/marlin_striped.png
"Marlin, White",Tetrapturus albidus,1 4,5,n,https://www.igfa.org/Images/SpeciesID_Images/marlin_white.png
Meagre,Argyrosomus spp.,3 4 5,3,n,https://www.igfa.org/Images/SpeciesID_Images/BWMeagre.png
Muskellunge,Esox masquinongy,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/muskellunge.png
"Muskellunge, Tiger",Esox masquinongy x Esox lucius,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/muskellunge_tiger.png
Nembwe,Serranochromis robustus,3,2,y,https://www.igfa.org/Images/SpeciesID_Images/BWNembwe.png
Oscar,Astronotus ocellatus,1 2 5,2,y,https://www.igfa.org/Images/SpeciesID_Images/BWOscar.png
"Parrotperch, Japanese",Oplegnathus fasciatus,5,2,n,"https://www.igfa.org/Images/SpeciesID_Images/BWParrotperch,%20Japanese.png"
"Parrotperch, Spotted",Oplegnathus punctatus,5,2,n,https://www.igfa.org/Images/SpeciesID_Images/parrot%20perch_spotted.png
Payara,Hydrolycus scomberoides,2,2,y,https://www.igfa.org/Images/SpeciesID_Images/payara.png
"Peacock, Blackstriped",Cichla intermedia,2,2,y,https://www.igfa.org/Images/SpeciesID_Images/peacock_blackstr.png
"Peacock, Butterfly",Cichla ocellaris,1 2 3 5,2,n,https://www.igfa.org/Images/SpeciesID_Images/peacock_butterfly.png
"Peacock, Orinoco",Cichla orinocensis,2,2,y,https://www.igfa.org/Images/SpeciesID_Images/BWPeacock_orinoco.png
"Peacock, Speckled",Cichla temensis,1 2,2,b,https://www.igfa.org/Images/SpeciesID_Images/peacock_speckled.png
"Pellona, Amazon",Pellona castelnaeana,2,3,y,"https://www.igfa.org/Images/SpeciesID_Images/BWPellona,%20Amazon.png"
"Perch, European",Perca  fluviatilis,4,3,y,https://www.igfa.org/Images/SpeciesID_Images/european_perch.png
"Perch, Nile",Lates niloticus,3,3,y,https://www.igfa.org/Images/SpeciesID_Images/perch_nile.png
"Perch, White",Morone americana,1,3,b,https://www.igfa.org/Images/SpeciesID_Images/perch_white.png
"Perch, Yellow",Perca flavescens,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/perch_yellow.png
Permit,Trachinotus falcatus,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/permit.png
"Pickerel, Chain",Esox niger,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/pickerel_chain.png
"Pike, Northern",Esox lucius,1 4,3,n,https://www.igfa.org/Images/SpeciesID_Images/pike_northern.png
"Piranha, Red",Pygocentrus nattereri,2,2,y,https://www.igfa.org/Images/SpeciesID_Images/BWPiranha.png
"Pollack, European",Pollachius pollachius,4,3,n,https://www.igfa.org/Images/SpeciesID_Images/pollock_european.png
Pollock,Pollachius virens,1 4,3,n,https://www.igfa.org/Images/SpeciesID_Images/Pollock.png
"Pompano, African",Alectis ciliaris,3 4,2,n,https://www.igfa.org/Images/SpeciesID_Images/pompno_african.png
"Pompano, Florida",Trachinotus  carolinus,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/florida_pompano.png
"Queenfish, Doublespotted",Scomberoides lysan,5 6,3,n,"https://www.igfa.org/Images/SpeciesID_Images/BWQueenfish,doublespotted.png"
"Queenfish, Talang",Scomberoides commersonnianus,5 6,3,n,"https://www.igfa.org/Images/SpeciesID_Images/BWQueenfish,%20talang.png"
"Redhorse, Shorthead",Moxostoma macrolepidotum,1,3,y,"https://www.igfa.org/Images/SpeciesID_Images/BWRedhorse,%20shorthead.png"
"Redhorse, Silver",Moxostoma anisurum,1,3,y,"https://www.igfa.org/Images/SpeciesID_Images/BWRedhorse,%20silver.png"
"Rockfish, Black-blue",Sebastes melanops/mystinus,1 5,2,n,"https://www.igfa.org/Images/SpeciesID_Images/BWRockfish,%20blackblue.png"
"Rockfish, Yelloweye",Sebastes ruberrimus,1 5,2,n,"https://www.igfa.org/Images/SpeciesID_Images/BWRockfish,%20yelloweye.png"
Roosterfish,Nematistius pectoralis,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/roosterfish.png
"Runner, Rainbow",Elagatis bipinnulata,1 2 3 4 5 6,3,n,https://www.igfa.org/Images/SpeciesID_Images/runner_rainbow.png
"Sailfish, Atlantic",Istiophorus platypterus,1 2 3 4 5 6,5,n,https://www.igfa.org/Images/SpeciesID_Images/sailfish_Pacific.png
"Salmon, Atlantic",Salmo salar,1 4,3,b,https://www.igfa.org/Images/SpeciesID_Images/salmon_atlantic.png
"Salmon, Chinook",Oncorhynchus tshawytscha,1 2 4 5,3,b,https://www.igfa.org/Images/SpeciesID_Images/salmon_chinook.png
"Salmon, Chum",Oncorhynchus keta,1 4 5,3,b,https://www.igfa.org/Images/SpeciesID_Images/salmon_chum.png
"Salmon, Coho",Oncorhynchus kisutch,1 2 5,3,b,https://www.igfa.org/Images/SpeciesID_Images/salmon_coho.png
"Salmon, Pink",Oncorhynchus gorbuscha,1 5,3,b,https://www.igfa.org/Images/SpeciesID_Images/salmon_pink.png
"Salmon, Sockeye",Oncorhynchus nerka,1 5,3,b,https://www.igfa.org/Images/SpeciesID_Images/salmon_sockeye.png
Samson Fish,Seriola hippos,6,2,n,https://www.igfa.org/Images/SpeciesID_Images/BWSamsonfish.png
